disp_i,disp_j,disp_k,id,pressure,temperature,x,y,z
-0.00039028575960507,-0.46133119415742,-1.2644975895566,91,21280260.821122,475.17513290125,1949.8,1715.9,-609.63
-0.00039522829895945,-0.45875948557315,-1.2751907348419,90,21108761.742608,473.61875278585,1950.5,1716,-587.74
-0.00040087991387821,-0.45587073236075,-1.2874004398832,89,20912964.378638,471.84138590059,1951.2,1716.3,-562.75
-0.00040651276879964,-0.45295656282536,-1.2996041736453,88,20717266.226668,470.06506296859,1952,1716.5,-537.77
-0.00041218045441851,-0.45004043357437,-1.3118128292832,87,20521469.400538,468.28742400451,1952.6,1716.7,-512.78
-0.00041785155454558,-0.44709732409117,-1.3240252144504,86,20325601.292402,466.50913761797,1953.2,1716.8,-487.78
-0.00042353628308335,-0.44415501584329,-1.3362327362391,85,20129802.19179,464.73125076366,1953.7,1716.9,-462.79
-0.0004292397403029,-0.44121113353808,-1.3484451600576,84,19933914.180962,462.95235507756,1954.1,1717,-437.79
-0.00043487959589129,-0.43831680185352,-1.3606553116544,83,19738147.514898,461.17464210944,1954.8,1717.3,-412.8
-0.00044038529583143,-0.43540056729901,-1.3728497838931,82,19542730.319699,459.40078900955,1956.2,1717.5,-387.84
-0.00044583954031808,-0.43253389059334,-1.3850371827025,81,19347507.386988,457.62847485607,1957.8,1717.9,-362.9
-0.00045131257609242,-0.42964064836813,-1.397228284522,80,19152204.879062,455.85517771445,1959.3,1718.2,-337.95
-0.00045687119821855,-0.42667189419555,-1.4094301238129,79,18956620.248704,454.07902095371,1960.4,1718.2,-312.97
-0.00046247780649646,-0.42358617180135,-1.421625328369,78,18761021.817321,452.30282667911,1961.3,1717.7,-287.99
-0.00046945977800187,-0.42058274264357,-1.4323293618424,77,18569647.182576,450.53531118468,1962,1716.9,-263.02
-0.0004773582090264,-0.41765740384719,-1.4420472095379,76,18380967.911089,448.77216216473,1962.5,1716,-238.04
-0.00048520876983961,-0.41475824547046,-1.4517661405494,75,18192339.941043,447.00906724887,1963.1,1715.2,-213.06
-0.00049308995800655,-0.41186100238087,-1.4614886338909,74,18003616.16392,445.24479256753,1963.5,1714.4,-188.07
-0.00050092029817139,-0.40899028090753,-1.4712083851019,73,17815019.399083,443.4812852935,1964,1713.7,-163.09
-0.00050876076992898,-0.40614336802041,-1.4809331840784,72,17626340.605053,441.71672679241,1964.4,1713.1,-138.1
-0.00051651524835172,-0.40334285180421,-1.490660706467,71,17437753.752864,439.95234110766,1965,1712.7,-113.11
-0.00052427710627987,-0.40056573867077,-1.5003895207883,70,17249160.716931,438.18762421776,1965.5,1712.4,-88.12
