time,coldwell_enthalpy_J,coldwell_mass_kg,hotwell_enthalpy_J,hotwell_mass_kg,inj_P_mid,inj_T_mid,is_summer,is_winter,pro_P_mid,pro_T_mid,recovery_rate,step_dt,termination,time,total_energy,total_recovery_time
0,0,0,0,0,19600000,339.91582222222,0,0,19600000,339.91582222222,0,0,0,0,0,0
1000,0,0,0,0,19599992.43152,339.91582214606,1,0,19600009.073417,339.91582215395,0,1000,0,1000,0,0
3000,9341582285.8673,31622.776601684,-27205313214.09,-31622.776601684,19823167.499043,342.43126009821,1,0,19374142.708349,339.9160631582,0,2000,0,3000,0,0
7000,18683306214.462,63245.553203368,-54410482551.903,-63245.553203368,19817230.768699,347.27738762474,1,0,19373575.414327,339.91685813266,0,4000,0,7000,0,0
15000,37367258364.973,126491.10640674,-108820436069.66,-126491.10640674,19806822.342858,356.28347044243,1,0,19373577.195514,339.9183414303,0,8000,0,15000,0,0
31000,74736820791.021,252982.21281347,-217639365073.48,-252982.21281347,19792699.307367,371.90837832955,1,0,19373596.279337,339.92093384178,0,16000,0,31000,0,0
63000,149481058183.44,505964.42562694,-435275217523.94,-505964.42562694,19777351.039179,395.81533757607,1,0,19373617.489483,339.92496577317,0,32000,0,63000,0,0
127000,298982330864.32,1011928.8512539,-870543854615.97,-1011928.8512539,19764050.400374,425.33213824394,1,0,19373650.212197,339.93013926484,0,64000,0,127000,0,0
255000,598007974382.87,2023857.7025078,-1741077008824.9,-2023857.7025078,19753746.346354,451.52646945176,1,0,19373705.232646,339.93519395995,0,128000,0,255000,0,0
511000,1196087076171.8,4047715.4050155,-3482136790816.8,-4047715.4050155,19745359.367134,466.44356581045,1,0,19373803.598931,339.93893691475,0,256000,0,511000,0,0
1023000,2392277780075.6,8095430.8100311,-6964243621598.1,-8095430.8100311,19737719.196,471.58668611381,1,0,19373985.094527,339.94160234309,0,512000,0,1023000,0,0
1887000,4037105132774.7,13661039.491927,-11752116952586,-13661039.491927,19730806.555005,472.74497464213,1,0,19374270.816061,339.94383700033,0,864000,0,1887000,0,0
2751000,4037195406665.9,13661039.491927,-11752088406424,-13661039.491927,19726290.625563,472.99127023413,1,0,19374540.166356,339.94536830398,0,864000,0,2751000,0,0
3615000,4037264265898.1,13661039.491927,-11752067170327,-13661039.491927,19722929.241626,473.07701449563,1,0,19374807.076177,339.94653615422,0,864000,0,3615000,0,0
4479000,4037320253367.3,13661039.491927,-11752050183914,-13661039.491927,19720245.571409,473.11461797727,1,0,19375066.059665,339.9474772338,0,864000,0,4479000,0,0
5343000,4037367963125.8,13661039.491927,-11752036026087,-13661039.491927,19718013.448322,473.13228079976,1,0,19375325.743209,339.94827063915,0,864000,0,5343000,0,0
6207000,4037410595161.1,13661039.491927,-11752023898202,-13661039.491927,19716104.812218,473.14077949222,1,0,19375589.861274,339.94897499361,0,864000,0,6207000,0,0
7071000,4037451200544.3,13661039.491927,-11752013262681,-13661039.491927,19714433.371948,473.14493623371,1,0,19375858.333938,339.94964927221,0,864000,0,7071000,0,0
7889400,3824401348765.4,12940040.185409,-11131759585190,-12940040.185409,19713019.026439,473.14694954244,1,0,19376118.361188,339.95032642532,0,818400,0,7889400,0,0
8753400,4037540984029,13661039.491927,-11751995650046,-13661039.491927,19711669.020493,473.14802971072,0,0,19376401.603165,339.95120393589,0,864000,0,8753400,0,0
9617400,0,0,0,0,19597612.178411,472.31204281701,0,0,19599962.999637,339.95104527878,0,864000,0,9617400,0,0
